person_x,kinsman,person_gender,kinsman_gender,ontology_kinship
"Michael, tax-payer at chorion of Dobrobikeia","Chotianos, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Michael, archon of Sklaboarchontia","Karseres, father of archon of Sklaboarchontia Michael",Male,Male,SonOf
"Mousilios, spatharokandidatos and tourmarches","Pankratios, father of spatharokandidatos and tourmarches Mouselios",Male,Male,SonOf
"Mouseses, slave of Eustathios Boilas","Garipios, slave of Eustathios Boilas",Male,Male,SonOf
"Nesnanos, tax-payer at chorion of Dobrobikeia","Damianos, father of a tax-payer of Dobrobikeia",Male,Male,SonOf
"Nesnastros, tax-payer at chorion of Dobrobikeia","Kyriakos, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Nikephoros Basilakes, usurper [1078]","Phloros, father of Nikephoros Basilakes",Male,Male,SonOf
Nikephoros Bryennios usurper [1077],"Anna the kouropalatissa, mother of Nikephoros Bryennios the usurper",Male,Female,SonOf
Nikephoros Bryennios usurper [1077],Bryennios the ethnarches,Male,Male,SonOf
"Nikephoros Diogenes, son of Romanos IV",Emperor Romanos IV Diogenes,Female,Male,SonOf
"Nikephoros Diogenes, son of Romanos IV",Empress Eudokia Makrembolitissa,Female,Female,SonOf
"Nikephoros, leader of alleged rebellion against Konstantinos IX","Euthymios, father of the alleged leaders of a rebellion",Male,Male,SonOf
"Nikephoros, nephew of patriarch Michael I Keroularios",elder brother of Michael Keroularios,Male,Male,SonOf
"Nikephoros Melissenos, kaisar","Bourtzes, father of Nikephoros Melissenos",Male,,SonOf
"Nikephoros Komnenos, brother of Alexios I",Anna Dalassene,Male,Female,SonOf
"Nikephoros Bryennios, kaisar, husband of Anna Komnene",Nikephoros Bryennios usurper [1077],Male,Male,SonOf
"Nikephoros, son of Melabas, citizen of Hierissos","Melabas, citizen of Hierissos (?)",Male,Male,SonOf
"Nikolaos, tax-payer at chorion of Dobrobikeia","Georgios, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Pankratios Nikoulitzas, son of Nikoulitzas Delphinas","Nikoulitzas Delphinas, official at Larissa",Male,Male,SonOf
"Petros (Peter) Deljan, Bulgarian rebel","Radomir, son of Samuel of Bulgaria",Male,Male,SonOf
"Petros (Peter) Deljan, Bulgarian rebel","daughter of the Hungarian kral, first wife of Radomir of Bulgaria",Male,Female,SonOf
"Petros III, patriarch of Antioch","mother of Petros II, patriarch of Antioch",Male,,SonOf
"Petros III, patriarch of Antioch","father of Petros III, patriarch of Antioch",Male,,SonOf
"Petros, tax-payer at chorion of Dobrobikeia","Ivan, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Petros, tax-payer at chorion of Dobrobikeia","Eirotas, father of tax-payer of Dobrobikeia",Male,Male,SonOf
"Photeinos, paroikos at proasteion of Eunouchou (Strymon)","Prodanos, father of Photeinos",Male,Male,SonOf
"Prousianos, son of John Vladislav of Bulgaria","Maria, wife of Ioannes Vladislav of Bulgaria",Male,Female,SonOf
"Radomir, son of Samuel of Bulgaria",Samuel of Bulgaria,Male,Male,SonOf
Emperor Romanos IV Diogenes,"Konstantinos Diogenes, father of Romanos IV",Male,Male,SonOf
"Romanos Skleros, brother of Maria Skleraina",father of Romanos Skleros (brother of Skleraina),Male,Male,SonOf
"Romanos, son of protonobelissimos Georgios Palaiologos","Georgios Palaiologos, protonobelissimos at 1094 synod",,,SonOf
"Romanos, son of Eustathios Boilas",Eustathios Boilas,Male,Male,SonOf
"Romanos, son of Eustathios Boilas","Anna, wife of Eustathios Boilas",Male,Female,SonOf
"Stephanos Leichoudes, patrikios, governor of Vaspurakan","Konstantinos III Leichoudes, patriarch of Constantinople",Male,Male,SonOf
"Stylianos, witness of Iveron act","Xeropistares, father of Iveron act witness Stylianos",Male,Male,SonOf
Tatikios,father of Tatikios,Male,Male,SonOf
Theodoros Dokeianos,"daughter of Manuel Komnenos Erotikos, wife of Michael Dokeianos (?)",Male,Female,SonOf
"Theodoros, tax-payer at chorion of Dobrobikeia","Georgios, father of tax-payer of Dobrobikeia",Male,Male,SonOf
"Theodoros tou Skrapou, villager from Politziane (Strymon)","Skrapos, father of Theodoros from Politziane (Strymon)",Male,Male,SonOf
"Theodoros Blachos, paroikos at proasteion of Eunouchou (Strymon)","Klemes, father of paroikos Theodoros Blachos of Eunouchou (Strymon)",Male,Male,SonOf
"Theodosios Monomachos, cousin of Konstantinos IX","uncle of Konstantinos IX, father of Theodosios Monomachos",Male,Male,SonOf
"Tornikios Kontoleon, katepano of Italy, strategos of Hellas",father of Tornikios Kontoleon,Male,Male,SonOf
"Tughrul Beg, Seljuk Sultan","Mikhail b. Seljuk, father of Tughrul Beg",Male,Male,SonOf
"Tyrach, Pecheneg leader","Bilter, father of Pecheneg leader Tyrach",Male,Male,SonOf
"Tzernes, witness of Iveron act","Tzaeinos, father of Iveron act witness Tzernes",Male,Male,SonOf
"Ali az-Zahir, Fatimid caliph","al-Hakim, Fatimid caliph",Male,Male,SonOf
"Ali az-Zahir, Fatimid caliph","wife of al-Hakim, mother of Fatimid caliph Zahir",Male,Female,SonOf
infant grandchild of Michael Psellos,"Euphemia, adopted daughter of Michael Psellos",Male,Female,SonOf
priest (in the household?) of Michael Psellos,father of priest in household (?) of Michael Psellos,Male,Male,SonOf
priest (in the household?) of Michael Psellos,mother of priest in household (?) of Michael Psellos,Male,Female,SonOf
son of tavern-keeper Gorgoploutos,"Gorgoploutos, tavern-keeper in Constantinople",Male,Male,SonOf
son of Basileios Kalokairos,"Basileios Kalokairos, mentioned in synodal decision",Male,Male,SonOf
"Basileios, mentioned in synodal decision","Helena, mentioned in synodal decision",Male,Female,SonOf
"Demetrios, mentioned in synodal decision","Theodote, mentioned in synodal decision",Male,Female,SonOf
"Konstantinos Diogenes, son of Romanos IV",Emperor Romanos IV Diogenes,Male,Male,SonOf
"Leon, mentioned in synodal decision","Anthimos, protospatharios mentioned in synodal decision",Male,Male,SonOf
Michael Attaleiates,"Eirenikos, father of Michael Attaleiates",Male,Male,SonOf
Michael Attaleiates,"Kale, mother of Michael Attaleiates",Male,Female,SonOf
"Niketas, witness in lawsuit","Ioannes, protospatharios, father of lawsuit witness Niketas",Male,Male,SonOf
"Pothos, vestarches and cousin of Michael Psellos","droungarios, father of Pothos",Male,Male,SonOf
"Pothos, vestarches and cousin of Michael Psellos","droungaria, mother of Pothos",Male,Female,SonOf
"Theodoros, son of Michael Attaleiates",Michael Attaleiates,Male,Male,SonOf
"Andronikos Komnenos, son of Alexios I",Emperor Alexios I Komnenos,Male,Male,SonOf
"Andronikos Komnenos, son of Alexios I","Eirene Doukaina, wife of Alexios I",Male,Female,SonOf
"Isaakios Komnenos, son of Alexios I",Emperor Alexios I Komnenos,Male,Male,SonOf
son of notary Georgios (teacher of Lazaros of Galesion),"Georgios, notary and teacher of Lazaros of Galesion",Male,,SonOf
young boy whose death was foretold by Lazaros of Galesion,sailor whose son's death Lazaros of Galesion foretold,Male,Male,SonOf
poor villager from Kepion near Ephesos,mother of layman working on Mount Galesion,Male,Female,SonOf
"Basileios tou Blattopolou, monk on Mount Galesion","Blattopoles, father of monk Basileios of Mount Galesion",Male,Male,SonOf
"Georgios, son of Ioannes Libanos","Ioannes Libanos, visitor to Mount Galesion",Male,Male,SonOf
"Gregorios the cellarer, author of Lazaros of Galesion vita",mother of Gregorios the Cellarer of Mount Galesion,Male,Female,SonOf
"Ioannes of Opsikion, ascetic on Mount Galesion","nun on Mount Galesion, mother of monk Ioannes of Opsikion",Male,Female,SonOf
"Konstantinos, son of priest Menas of Samakios","Menas, priest from Samakios (near Galesion)",Male,Male,SonOf
"Kosmas, son of Konidiares","Konidiares, father of Kosmas",Male,Male,SonOf
"Kyrillos, oikonomos on Mount Galesion","Gregorios, monk on Mount Galesion",Male,Male,SonOf
"Laurentios Halmyrenos, monk on Mount Galesion","mother of Laurentios Halmyrenos, monk on Mount Galesion",Male,Female,SonOf
Lazaros of Mount Galesion,"Eirene, mother of Lazaros of Galesion",Male,Female,SonOf
Lazaros of Mount Galesion,"Niketas, father of Lazaros of Galesion",Male,Male,SonOf
"Manuel Komnenos, son of Alexios I",Emperor Alexios I Komnenos,Male,Male,SonOf
"Manuel Komnenos, son of Alexios I","Eirene Doukaina, wife of Alexios I",Male,Female,SonOf
"Nikephoros, krites of Thrakesion","proteuon, father of krites of Thrakesion Nikephoros",Male,Male,SonOf
"Bryennios, son of Ioannes Bryennios","Ioannes Bryennios, brother of usurper Nikephoros",Male,Male,SonOf
"Katakalon Tarchaneiotes, doux of Antioch","Joseph Tarchaneiotes, proedros and doux of Antioch",Male,Male,SonOf
Mansur ibn Qutlumish,"Qutlumish, cousin of Tughrul Beg",Male,Male,SonOf
Sulayman ibn Qutlumish,"Qutlumish, cousin of Tughrul Beg",Male,Male,SonOf
"Gregorios Gabras, son of Theodoros Gabras","Theodoros Gabras, ruler of Trebizond",Male,Male,SonOf
"Michael Iasites, husband of Eudokia, daughter of Alexios I","Konstantinos Iasites, at 1094 synod",Male,,SonOf
second son of Konstantinos X and Eudokia,Emperor Konstantinos X Doukas,Male,Male,SonOf
"Agapetos, paroikos at Berboulidion (Meander valley)","Grammatikos, father of paroikos Agapetos at Berboulidion (Meander valley)",Male,Male,SonOf
"Georgios, son of epoikos Ioannes Bagianos of Patmos","Ioannes Bagianos, epoikos on Patmos",Male,Male,SonOf
cousin of Gregorios Pakourianos,"Chosrienes, uncle of Gregorios Pakourianos",Male,Male,SonOf
"Apasios, brother of Gregorios Pakourianos",mother of Gregorios Pakourianos,Male,Female,SonOf
son of Nasr ibn Musharraf,"Nasr ibn Musharraf, Arab opponent of Antioch",Male,Male,SonOf
Shibl al-Dawla Abu Kamil Nasr ibn Salih ibn Mirdas,Salih ibn Mirdas al-Kilabi,Male,Male,SonOf
"Abu Ja'far 'Abd al-Malik al-Qa'im bi-Amr Allah, caliph of Baghdad","al-Qadir bi-llah Ahmad ibn al-Muqtadir, caliph of Baghdad",Male,Male,SonOf
"protonotarios of genikon logothesion, son of Ioannes Kyparissiotes","Ioannes Kyparissiotes, vestes and imperial notarios",Male,Male,SonOf
"Bardas, paroikos at Baris (Meander valley)","Georgios Mizoteros, father of paroikos Bardas at Baris (Meander valley)",Male,Male,SonOf
"Basileios, son of paroikos Ioannes Skrinos at Berboulidion (Meander valley)","Ioannes Skrinos, paroikos at Berboulidion (Meander valley)",Male,Male,SonOf
"Basileios, son of paroikos at Galaides (Meander valley)",paroikos at Galaides (Meander valley),Male,Male,SonOf
"Gregorios Kamateros, logariastes of sekreton of genikon","Basileios Kamateros, magistros and krites of the velon",Male,Male,SonOf
"Basileios, son of epoikos Konstantinos Kalamiotes Persikoures on Patmos","Konstantinos Kalamiotes Persikoures, epoikos on Patmos",Male,Male,SonOf
"Ioannes, son of paroikos Georgios Tzibos at Baris (Meander valley)","Georgios Tzibos, paroikos at Baris (Meander valley)",Male,Male,SonOf
"Georgios, paroikos at Olynthos (Meander valley)","Ioannes Sapounas, husband of paroikos Maria at Olynthos (Meander valley)",Male,Male,SonOf
"Ioannes, paroikos at Olynthos (Meander valley)","Basileios, father of paroikos Ioannes at Olynthos (Meander valley)",Male,Male,SonOf
"Georgios, son of paroikos Kyriakos at Olynthos (Meander valley)","Kyriakos, paroikos at Olynthos (Meander valley)",Male,Male,SonOf
"Georgios, paroikos at Olynthos (Meander valley)","horophylax, father of paroikos Georgios at Olynthos (Meander valley)",Male,Male,SonOf
"Georgios, son of paroikos Stratego at Gamma (Meander region)","Stratego, paroikos at Gamma (Meander region)",Male,Female,SonOf
"Georgios, paroikos at Gamma (Meander region)","Eirene Katzaradene, mother of paroikos Georgios at Gamma (Meander region)",Male,Female,SonOf
"Georgios, son of paroikos Georgios Maurogeorgios at Galaides (Meander valley)","Georgios Maurogeorgios, paroikos at Galaides (Meander valley)",Male,Male,SonOf
"Georgios, paroikos at Galaides (Meander valley)","Charokopina, mother of paroikos Georgios at Galaides (Meander valley)",Male,Female,SonOf
"Georgios, paroikos at Melanoudion (Meander valley)",mother of paroikos Georgios at Melanoudion (Meander valley),Male,Female,SonOf
"Ioannes, son of paroikos Helena at Gamma (Meander region)","Helena, paroikos at Gamma (Meander region)",Male,Female,SonOf
"Ioannes, son of paroikos Petros at Galaides (Meander valley)","Petros, paroikos at Galaides (Meander valley)",Male,Male,SonOf
"Ioannes, son of paroikos Georgios Sideras at Galaides (Meander valley)","Georgios Sideras, paroikos at Galaides (Meander valley)",Male,Male,SonOf
"Ioannes, paroikos at Galaides (Meander valley)","Pezoules, father of paroikos Ioannes at Galaides (Meander valley)",Male,Male,SonOf
"Ioannes, son of paroikos Georgios at Melanoudion (Meander valley)","Georgios, paroikos at Melanoudion (Meander valley)",Male,Male,SonOf
son of Kyrillos Phileotes,wife of Kyrillos Phileotes,Male,Female,SonOf
son of Kyrillos Phileotes,"Kyrillos Phileotes, holy man at Derkos (Thrace)",Male,Male,SonOf
son of Kyrillos Phileotes,wife of Kyrillos Phileotes,Male,Female,SonOf
"Kalos, son of epoikos Niketas Kateas of Patmos","Niketas Kateas, epoikos on Patmos",Male,Male,SonOf
"Konstantinos, son of paroikos Ioannes Agouritzes at Galaides (Meander valley)","Ioannes Agouritzes, paroikos at Galaides (Meander valley)",Male,Male,SonOf
"Kyriakos, paroikos at Baris (Meander valley)","Theophano, mother of paroikos Kyriakos at Baris (Meander valley)",Male,Female,SonOf
"Kyriakos, son of paroikos Ioannes at Olynthos (Meander valley)","Ioannes, paroikos at Olynthos (Meander valley)",Male,Male,SonOf
"Kyriakos, epoikos on Patmos","Kalos Patmiotes, epoikos on Patmos",Male,Male,SonOf
"Kyriakos, son of epoikos Basileios Kateas of Patmos","Basileios Kateas, epoikos on Patmos",Male,Male,SonOf
